id;abbreviation;ekatte_num;name
755;KNL04-10;46262;Мала Фуча
756;KNL04-13;48711;Мламолово
758;KNL04-15;21974;Долистово
759;KNL04-16;38635;Коркина
760;KNL04-17;46824;Мало село
762;KNL05-08;67252;Слатино
763;KNL05-10;75174;Усойка
766;KNL27-06;49360;Мурсалево
767;KNL27-07;57830;Пороминово
768;KNL27-08;69261;Стоб
772;KNL29-06;14917;Гирчевци
773;KNL29-09;16198;Горна Гращица
774;KNL29-10;17680;Грамаждано
775;KNL29-11;17751;Граница
776;KNL29-12;18352;Гърляно
777;KNL29-13;18455;Гюешево
778;KNL29-14;20208;Дворище
779;KNL29-15;22071;Долна Гращица
780;KNL29-17;23282;Драговищица
781;KNL29-18;29026;Жабокрът
782;KNL29-19;29386;Жиленци
783;KNL29-22;38432;Коняво
784;KNL29-23;38474;Копиловци
785;KNL29-24;44183;Лозно
786;KNL29-27;48355;Вратца
787;KNL29-28;52026;Нови чифлик
697;JAM22-02;00816;Атолово
713;JAM25-02;03229;Безмер
714;JAM25-04;05863;Ботево
715;JAM25-05;05952;Бояджик
744;JAM25-43;05308;Болярско
757;KNL04-14;02049;Бабино
788;KNL29-30;52400;Николичевци
789;KNL29-31;56378;Пиперков чифлик
790;KNL29-34;61457;Радловци
791;KNL29-36;63536;Раждавица
792;KNL29-38;66891;Скриняно
793;KNL29-39;67461;Слокощица
794;KNL29-40;67790;Соволяно
795;KNL29-41;69167;Стенско
796;KNL29-42;72045;Таваличево
797;KNL29-43;73691;Търновлаг
798;KNL29-46;83354;Шишковци
799;KNL29-47;87062;Ябълково
800;KNL31-01;10050;Ваксево
801;KNL31-04;23827;Друмохар
802;KNL31-09;43709;Лиляч
803;KNL31-16;62284;Рашка Гращица
804;KNL31-21;81284;Четирци
805;KNL38-02;55539;Пастра
806;KNL38-04;67698;Смочево
807;KNL41-01;53254;Овчарци
808;KNL41-02;62520;Ресилово
809;KNL41-03;65379;Сапарево
813;KNL48-06;20763;Джерман
814;KNL48-09;39339;Крайници
815;KNL48-11;55230;Палатово
816;KNL48-12;56349;Пиперево
817;KNL48-13;65245;Самораново
818;KNL48-14;72758;Тополница
819;KNL48-15;80491;Червен брег
820;KNL48-16;87727;Яхиново
821;KNL48-17;24791;Дяково
